Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
No Revenue Center,4690.0,28260.55,653.9,32.37,28946.82,2565.03
Total,4690.0,28260.55,653.9,32.37,28946.82,2565.03
