Hour of day,Net sales,Total orders,Total guests
15,4682.97,192,192
16,2741.66,138,138
12,2571.25,151,151
19,2744.40,155,155
18,2914.43,156,156
13,3061.53,158,158
11,3346.30,168,168
14,2442.55,118,118
20,605.53,39,39
17,2816.93,146,146
10,81.0,6,6
23,252.0,1,1
1,,1,1
