Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,28260.55,1429,19.78,1429,21.68,1429,19.78,4.57
Total,28260.55,1429,19.78,1429,21.68,1429,19.78,4.57
