Tax rate,Tax amount,Taxable amount
UT SPECIAL TAX,65.99,6484.8
UT CITY TAX,32.58,6484.8
UT COUNTY TAX,99.83,6484.8
UT STATE TAX,346.83,6484.8
Restaurant Tax,64.87,6484.8
Non-Taxable Service Charges,0.0,3.0
Marketplace facilitator tax - Remitted by restaurant,207.0,2501.91
