yyyyMMdd,Net sales,Total orders,Total guests
20260401,447.10,28,28
20260402,520.60,30,30
20260403,863.88,53,53
20260404,1099.56,59,59
20260405,600.25,32,32
20260406,378.60,29,29
20260407,389.03,25,25
20260408,827.15,48,48
20260409,622.86,36,36
20260410,805.05,48,48
20260411,1595.20,82,82
20260412,840.43,45,45
