Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
No Revenue Center,1207.0,8989.71,262.2,0.0,9251.91,817.1
Total,1207.0,8989.71,262.2,0.0,9251.91,817.1
