Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Lunch,275,4707.28,140.9,0.0,4848.18,425.64
Dinner,238,4267.43,121.3,0.0,4388.73,390.05
Breakfast,2,15.0,0.0,0.0,15.0,1.41
Total,515,8989.71,262.2,0.0,9251.91,817.10
