Day of week,Net sales,Total orders,Total guests
Fri,1668.93,101,101
Mon,378.60,29,29
Sat,2694.76,141,141
Sun,1440.68,77,77
Thu,1143.46,66,66
Tue,389.03,25,25
Wed,1274.25,76,76
