Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,8989.71,515,17.46,514,19.11,515,17.46,5.17
Total,8989.71,515,17.46,514,19.11,515,17.46,5.17
